YEAR,STATE,COUNTY_NAME,RATE_PER_100,,,,,
2023,CT,Windham County,25.3,,,,,
2023,CT,Middlesex County,21.5,,,,,
2023,CT,Litchfield County,19.3,,,,,
2023,CT,Tolland County,15.2,,,,,
2023,DC,District of Columbia,30.3,,,,,
2023,DE,Sussex County,49.3,,,,,
2023,DE,New Castle County,40.5,,,,,
2023,DE,Kent County,22.9,,,,,
2023,FL,Alachua County,85.9,,,,,
2023,FL,Escambia County,85.7,,,,,
2023,FL,Martin County,64,,,,,
2023,FL,Okeechobee County,61.9,,,,,
2023,FL,Duval County,61.7,,,,,
2023,FL,Leon County,56.4,,,,,
2023,FL,Hernando County,56.2,,,,,
2023,FL,Pinellas County,55.6,,,,,
2023,FL,Bay County,55.3,,,,,
2023,FL,Charlotte County,54.6,,,,,
2023,FL,Marion County,50.7,,,,,
2023,FL,Pasco County,50.6,,,,,
2023,FL,Indian River County,48,,,,,
2023,FL,Okaloosa County,46.9,,,,,
2023,FL,Sarasota County,46.4,,,,,
2023,FL,Jackson County,45.4,,,,,
2023,FL,Levy County,44.7,,,,,
2023,FL,Citrus County,43.5,,,,,
2023,FL,Holmes County,43,,,,,
2023,FL,Volusia County,42.6,,,,,
2023,FL,Brevard County,42.2,,,,,
2023,FL,Nassau County,41.3,,,,,
2023,FL,Hillsborough County,41,,,,,
2023,FL,Clay County,38.5,,,,,
2023,FL,Lee County,38.2,,,,,
2023,FL,Palm Beach County,38,,,,,
2023,FL,Lake County,37.2,,,,,
2023,FL,Putnam County,35.8,,,,,
2023,FL,Columbia County,34.5,,,,,
2023,FL,Santa Rosa County,34.3,,,,,
2023,FL,Highlands County,33.6,,,,,
2023,FL,Taylor County,33.1,,,,,
2023,FL,Seminole County,31.4,,,,,
2023,FL,Manatee County,30.8,,,,,
2023,FL,Collier County,30.1,,,,,
2023,FL,Orange County,30.1,,,,,
2023,FL,Calhoun County,29.6,,,,,
2023,FL,Gulf County,29.3,,,,,
2023,FL,Flagler County,28.6,,,,,
2023,FL,Broward County,28.1,,,,,
2023,FL,St. Lucie County,27.3,,,,,
2023,FL,Polk County,26.7,,,,,
2023,FL,St. Johns County,24.3,,,,,
2023,FL,Monroe County,23.4,,,,,
2023,FL,Lafayette County,23.2,,,,,
2023,FL,Bradford County,23.1,,,,,
2023,FL,Washington County,22.3,,,,,
2023,FL,Walton County,21.6,,,,,
2023,FL,Osceola County,21.4,,,,,
2023,FL,Miami-Dade County,19.3,,,,,
2023,FL,Franklin County,16.8,,,,,
2023,FL,Madison County,16.4,,,,,
2023,FL,Dixie County,14.1,,,,,
2023,FL,Baker County,13.6,,,,,
2023,FL,Union County,12.7,,,,,
2023,FL,Sumter County,12.4,,,,,
2023,FL,DeSoto County,11.9,,,,,
2023,FL,Hardee County,10.9,,,,,
2023,FL,Gilchrist County,10.6,,,,,
2023,FL,Suwannee County,10.4,,,,,
2023,FL,Liberty County,8.2,,,,,
2023,FL,Hendry County,7.7,,,,,
2023,FL,Hamilton County,6.6,,,,,
2023,FL,Gadsden County,5.4,,,,,
2023,FL,Wakulla County,3.9,,,,,
2023,FL,Jefferson County,1.7,,,,,
2023,FL,Glades County,0.3,,,,,
2023,GA,Tift County,168.8,,,,,
2023,GA,Ware County,146.8,,,,,
2023,GA,Floyd County,128,,,,,
2023,GA,Thomas County,115,,,,,
2023,GA,Clarke County,112.7,,,,,
2023,GA,Bibb County,112.6,,,,,
2023,GA,Seminole County,109.3,,,,,
2023,GA,Towns County,106.8,,,,,
2023,GA,Dougherty County,103.2,,,,,
2023,GA,Bacon County,96.2,,,,,
2023,GA,Spalding County,94.6,,,,,
2023,GA,Coffee County,94.4,,,,,
2023,GA,Richmond County,91.8,,,,,
2023,GA,Clay County,88.9,,,,,
2023,GA,Muscogee County,86.8,,,,,
2023,GA,Gordon County,81.9,,,,,
2023,GA,Sumter County,81.9,,,,,
2023,GA,Hall County,77.9,,,,,
